provincia,year,pop,deflactor,res_pri,res_tot,gas_tot,gas_cor,gas_cap,trf_cor,trf_copa,res_pri_cte,res_tot_cte,gas_tot_cte,gas_cor_cte,gas_cap_cte,trf_cor_cte,trf_copa_cte
Buenos Aires,1984,,,-5696,14808,143140,120714,22426,14876,34208,,,,,,,
C.A.B.A.,1984,,,-13759,-3464,64157,53497,10660,0,7796,,,,,,,
Catamarca,1984,,,-1570,-318,9986,8470,1516,5041,2809,,,,,,,
Chaco,1984,,,-1257,2913,18791,14445,4346,8579,6180,,,,,,,
Chubut,1984,,,93,2944,9379,6385,2994,988,3170,,,,,,,
Córdoba,1984,,,-4989,2263,43381,35987,7394,13281,10894,,,,,,,
Corrientes,1984,,,-3699,3570,20587,13168,7419,5644,8977,,,,,,,
Entre Ríos,1984,,,43,6290,22823,16388,6435,8759,5564,,,,,,,
Formosa,1984,,,-1196,4570,15496,9463,6033,6959,6033,,,,,,,
Jujuy,1984,,,-3848,-226,15973,12050,3923,5104,4220,,,,,,,
La Pampa,1984,,,-1014,1494,8968,5987,2981,3287,2378,,,,,,,
La Rioja,1984,,,-1826,-244,8336,6569,1767,3458,2474,,,,,,,
Mendoza,1984,,,-3581,-445,24335,21069,3266,5158,5694,,,,,,,
Misiones,1984,,,-7,5846,16442,10296,6146,6892,7168,,,,,,,
Neuquén,1984,,,-2364,6106,18448,9659,8789,2751,3412,,,,,,,
Río Negro,1984,,,-2305,1731,15555,11288,4267,3471,4777,,,,,,,
Salta,1984,,,-4836,-1637,22488,18925,3563,5644,6146,,,,,,,
San Juan,1984,,,-3714,1846,16953,10874,6079,7126,4262,,,,,,,
San Luis,1984,,,-1381,1185,9186,6423,2763,4120,3015,,,,,,,
Santa Cruz,1984,,,-939,3662,13277,8608,4669,1114,3932,,,,,,,
Santa Fe,1984,,,-10628,-4896,53756,47966,5790,14223,11958,,,,,,,
Santiago del Estero,1984,,,-763,1913,14537,11380,3157,6603,5531,,,,,,,
Tierra del Fuego,1984,,,78,3160,5167,1658,3509,360,1419,,,,,,,
Tucumán,1984,,,-3521,-1407,20282,17874,2408,6888,5874,,,,,,,
